dt,close,signal
2025-08-05 09:55:00+00:00,114694.07,-1
2025-08-05 10:00:00+00:00,114621.1,-1
2025-08-05 10:05:00+00:00,114600.0,-1
2025-08-05 10:10:00+00:00,114629.0,0
2025-08-05 10:15:00+00:00,114665.84,-1
2025-08-05 10:20:00+00:00,114770.86,-1
2025-08-05 10:25:00+00:00,114958.94,-1
2025-08-05 10:30:00+00:00,115092.05,-1
2025-08-05 10:35:00+00:00,114958.26,0
2025-08-05 10:40:00+00:00,114975.17,0
2025-08-05 10:45:00+00:00,114878.88,0
2025-08-05 10:50:00+00:00,114877.5,0
2025-08-05 10:55:00+00:00,114840.17,0
2025-08-05 11:00:00+00:00,114813.02,0
2025-08-05 11:05:00+00:00,114748.87,0
2025-08-05 11:10:00+00:00,114786.02,0
2025-08-05 11:15:00+00:00,114813.02,0
2025-08-05 11:20:00+00:00,114865.41,0
2025-08-05 11:25:00+00:00,114902.93,0
2025-08-05 11:30:00+00:00,114824.42,0
2025-08-05 11:35:00+00:00,114919.1,0
2025-08-05 11:40:00+00:00,114946.9,0
2025-08-05 11:45:00+00:00,114850.63,0
2025-08-05 11:50:00+00:00,114794.55,0
2025-08-05 11:55:00+00:00,114826.05,0
2025-08-05 12:00:00+00:00,114793.23,0
2025-08-05 12:05:00+00:00,114841.68,0
2025-08-05 12:10:00+00:00,114891.98,0
2025-08-05 12:15:00+00:00,114724.63,0
2025-08-05 12:20:00+00:00,114502.21,0
2025-08-05 12:25:00+00:00,114529.09,0
2025-08-05 12:30:00+00:00,114414.72,1
2025-08-05 12:35:00+00:00,113694.14,1
2025-08-05 12:40:00+00:00,113885.61,1
2025-08-05 12:45:00+00:00,113963.15,1
2025-08-05 12:50:00+00:00,113978.6,1
2025-08-05 12:55:00+00:00,113937.55,1
2025-08-05 13:00:00+00:00,114067.34,0
2025-08-05 13:05:00+00:00,113958.22,1
2025-08-05 13:10:00+00:00,114016.62,0
2025-08-05 13:15:00+00:00,114174.14,0
2025-08-05 13:20:00+00:00,114160.6,0
2025-08-05 13:25:00+00:00,114172.06,0
2025-08-05 13:30:00+00:00,114051.89,0
2025-08-05 13:35:00+00:00,114383.28,0
2025-08-05 13:40:00+00:00,114281.77,0
2025-08-05 13:45:00+00:00,114451.95,-1
2025-08-05 13:50:00+00:00,114399.89,0
2025-08-05 13:55:00+00:00,114381.85,0
2025-08-05 14:00:00+00:00,114079.38,0
2025-08-05 14:05:00+00:00,114033.19,0
2025-08-05 14:10:00+00:00,113864.46,0
2025-08-05 14:15:00+00:00,113612.2,0
2025-08-05 14:20:00+00:00,113287.47,0
2025-08-05 14:25:00+00:00,113248.24,1
2025-08-05 14:30:00+00:00,113014.21,1
2025-08-05 14:35:00+00:00,113030.62,1
2025-08-05 14:40:00+00:00,112776.49,1
2025-08-05 14:45:00+00:00,112726.26,1
2025-08-05 14:50:00+00:00,112760.57,1
2025-08-05 14:55:00+00:00,113037.82,1
2025-08-05 15:00:00+00:00,112896.67,1
2025-08-05 15:05:00+00:00,113241.09,1
2025-08-05 15:10:00+00:00,113188.77,0
2025-08-05 15:15:00+00:00,113174.87,0
2025-08-05 15:20:00+00:00,112993.09,0
